title,date,rating,review,isEdited,userName
บริการเเย่ที่สุด,2020-02-23 10:15:05,1,ทุกครั้งที่ใช้บริการแอพนี้จะต้องเสียอารมณ์สุดๆ เพราะบริการแย่มาก ช้ามากๆ สั่งแอพอื่นทีหลังร้านเดียวกันยังได้ก่อน   ลบถาวร! ให้โอกาสมาหลายครั้งแล้วก็เจอปัญหาเดิมๆ,FALSE,คนให้โอกาสจนสุดจะทน
บริการแย่นะ,2020-02-23 07:30:42,1,สั่งอาหารบอก30-40นาที เออก็รู้อยู่อาจจะมีเรทบ้างไรบ้าง แต่แชทไปสอบถามว่าทำไมนานจัง เพราะมันเลยมาชั่วโมงกว่า ไอ้เชี้ยคนส่งบอกพี่พิมพ์มาแบบนี้ไม่ได้มันไม่ถูก พ่อมึงตายไอ้สัสแทนที่จะขออภัยลูกค้ารถติดรถอะไร ก็ว่าไป มาบอกกูพิมพ์หรือสอบถามแบบนี้ไปไม่ได้ #ไม่ตกรถก็บุญแล้ว,FALSE,bfjskfk
เวลาที่รออาหารไม่ตรงกับความเป็นจริง,2020-02-23 07:08:45,1,บอก25นาที รอจริงจะชั่วโมงนึงยังไม่ได้อาหาร เวลาเปลี่ยนตลอด ยกเลิกอาหารก็ยาก วุ่นวาย ควรปรับปรุงนะครับ,FALSE,SHIN-PENG
ที่อยู่,2020-02-08 07:17:29,3,ดีตรงส่งฟรีนะคะ แต่ในแอพชอบปักหมุดให้ผิดค่ะ ระบุที่อยู่ชัดเจนแล้ว แต่ชอบไปปักที่อื่น ให้คนส่งเขาสับสนไปส่งผิดที่ ปรับปรุงด้วยนะคะ ขอร้อง!!!,FALSE,chnchd.s
Excellent,2019-11-18 08:03:50,4,The experiences from the services are so far really good and pretty convenient.,FALSE,Rand?
สะดวกตรงที่ฟรีค่าส่ง,2019-11-06 13:30:52,2,โดนเลื่อนเวลาส่งไปเรื่อยๆ สุดท้ายโดนยกเลิกเพราะไม่มีคนเข้าไปรับอาหาร สรุปคือต้องไปสั่งจาก App อื่นแทน หิววนไปค่ะ,FALSE,Aomjai Dara
อาหาร,2019-08-12 07:36:46,5,ส่วนลดแบบจุกๆ,FALSE,??????????????????????????????
แย่,2019-03-04 06:30:21,1,แย่มาก อาหารส่งช้า ไม่พออาหารไม่ครบอีก ครั้งเดียวพอ,FALSE,oillllllllllll
Wrost Food App,2019-03-01 11:20:04,1,Cancelled order but it still delivers WTF !!!,FALSE,"worst app , grab is better"
ดีงาม,2020-02-08 03:45:00,5,สะดวกสบาย,FALSE,J mi ko
??,2019-02-21 05:32:29,1,"They only care about the big meal which have expensive price.In the other hand, when you order less or cheap ones, thay never care and it will take longtime. So bad ??",FALSE,Migaone
สุดยอด App !!!,2017-05-26 08:19:11,5,เหมาะมากครับกับคนที่อยากทานอาหารอร่อยๆ ที่บ้าน,FALSE,trnon2529
แย่มาก,2019-02-20 08:16:08,1,สั่งอาหารไปเป็นชาติเวลาก็เปลี่ยนไปเปลี่ยนมาตอนแรก 20 นาที สักพักขึ้นเป็น 50 นาที ทำให้ไม่รู้ว่าจะได้เวลาไหน กินวันนี้ไม่ใช่ชาติหน้า,FALSE,ตกนำรกน_นหนไยไ
ชอบมาก,2021-03-19 14:50:17,5,ดีมากไม่ต้องไปซื้อเอง,FALSE,ฟาริต้า
อบรมอาชีพฟู๊ดแพนด้า,2021-03-18 04:56:46,5,บริการดี. เร้วเร้วทันใจคับชอบมากๆๆ??????????,FALSE,พงษ์เต๋อ
ส่วนลดผู้ใช้ใหม่,2021-03-19 11:44:26,1,คือ  ยังไงครับทางร้านกดยกเลิกออเดอร์เองแล้ว  จะใช้ส่วนลดผู้ใช้ใหม่กับที่อื่นไม่ได้เหรอครับ  ช่วยอธิบายที,FALSE,ฆวยจิงๆ
ไม่แผนที่การนำส่ง,2021-03-19 05:59:18,4,ควรมีแผนที่แสดงการนำส่งที่เป็นแบบreal time,FALSE,prapant
ทำไมพิมส่วนลด ขึ้นว่าใช้ไม่ได้,2021-03-19 04:59:09,2,ห โกรธ,FALSE,่ำรำนพนะว
ไม่ควรบวกค่าส่ง,2021-03-18 05:08:24,4,หักออก 1 ดาว เนื่องจากเพิ่มค่าส่ง 7-9 บาท,FALSE,หายใจก้ตาย
รวดเร็วทันใจ บริการดี,2021-03-18 04:55:53,5,รวดเร็วทันใจ,FALSE,Ms223729062554
าดมหว,2021-03-18 01:44:49,5,นดตไร่บเรำือบไร่,FALSE,Mikeza tinghoo
แอป,2021-03-18 04:55:50,4,สั่งยาก,FALSE,it's not contecting
ส่งของช้ามาก,2021-03-18 03:23:39,1,พอดังแล้วก็ทำงานชุ่ยมาก สับเพล่า รับออเดอร์สหลายๆรายการแล้วก็ส่งทีเดียว แบบนี้ใช้ได้ที่ไหน พอถามไรเดอร์ก็ตอบกลับมาห้วนๆพูดจาควรดีๆหน่อย,FALSE,คนเคยใช้บริการคนนึง
ส่งไวมาก,2021-03-17 16:53:18,5,Dครับ,FALSE,get t to
นานเกินไป,2021-03-17 21:05:54,1,รบกวนอบรมคนส่งหน่อยนะครับถ้าอยู่ไกลขนาดนั้นก็ไม่ต้อบรับออเดอร์ เห็นใจลูกค้าที่ต้องรอนานๆๆๆหน่อยนะครับ,FALSE,passakornn
โปรโมชั่นดีๆ,2021-03-17 03:13:54,5,จัดโปรโมชั่นจริง แจกจริงค่ะ,FALSE,คุณบุษบา2
ใส่ส่วนลดไม่ได้,2021-03-17 11:11:21,2,ใส่ส่วนลดครั้งแรก แล้ว error เลยใส่ใหม่ แต่ระบบบอกใช้ส่วนลดไปแล้ว สรุป ไม่ได้ใช้เลยค่ะ,FALSE,Pom365
ซิลโดเรล่า,2021-03-17 10:33:30,4,เวรี่กู้ดอาชิปาเห้??,FALSE,มนรึดี
ส่วนลดเข้าใหม่ใช้ไม่ได้เพราะร้านค้ายกเลิกออเดอร์,2021-03-17 08:39:37,3,"สั่งข้าวหมกไก่ไปครั้งแรกเพราะเพิ่งเข้า ได้รับส่วนลด100 ปรากฎว่าร้านค้ายกเลิกรายการ
คูปองก็เอากลับมาใช้ใหม่ไม่ได้",FALSE,Ging25
????????????,2021-03-17 02:52:48,5,ค่าส่งถูกดีค่ะ,FALSE,zizikim7
ดีมากๆค่ะ,2021-03-16 06:28:40,5,เยี่ยมมากๆ,FALSE,Mee Ch
สินค้าที่ได้รับไม่ตรงจามที่สั่ง,2021-03-16 10:57:08,1,สั่งkfc ในราคา466 บาท ได้รับสินค้ามาพร้อมใบเสร็จในราคา 265 บาท ติดต่อผ่านช่วยเหลือไป ไม่มีใครตอบแต่มีหน้าต่างยกเลิกรายการคำสั่งซื้อกลับมา แบบไม่ทีคำพูดใดๆอธิบายเลย เสียความรู้สึกมากค่ะ แถมไรด์เดอร์ยังขับเลยไปไกลมากๆ คนละถนนกันเลย มาถึงของก็ขาด ไม่ครบ แล้วยังไม่ได้คำอธิบายจากพนักงานที่ตอบคำถามอีก เสียความรู้สึกค่ะ,FALSE,ชุมพิชา
ราคาไม่ตรงกับที่แจ้ง,2021-03-16 07:39:37,1,"บางร้านลงราคาไว้ 45 บาท
พอเก็บจริง เก็บ 50 บาท",FALSE,finalza
ชอบค่ะ,2021-03-16 04:01:35,5,ชอบค่ะ มีโค๊ดมาให้เรื่อยๆ ร้านหลากหลาย พนักงานบริการดี,FALSE,โอลเวนเดอร์
ดีค่ะ,2021-03-15 13:36:23,5,ดีค่ะ,FALSE,TaL Togee
ดีมากค่ะ,2021-03-14 08:54:10,5,ดีมากค่ะ,FALSE,tato_tal
..,2021-03-15 08:38:50,4,อยากให้ลงรายระเอียดไรเดอร์ กับgpsติดตามไรเดอร์จอกว้างขึ้น,FALSE,Mokumokuu
แอพนี้สนับสนุนพวก3 กีบ,2021-03-15 06:14:24,1,ถูกใจล้มเจ้า,FALSE,รากส
การชำระค่าใช้จ่าย,2021-03-14 16:41:26,1,หักเงินจาก ทรูมันนี่วอลเล็ทแล้ว แต่ออเดอร์ไม่ขึ้น ช่วยจัดการด้วยค่ะ,FALSE,อุบลนางรำหลวง
